consumers,avg_latency,std_dev
1,1231121.4830166667,222094.66064862066
2,2909011.1050833333,928086.9276694983
4,4852516.136483333,2148315.7595331166
8,5333369.638058334,2384241.717545992
16,5407495.908658333,2436531.81049839
