consumers,avg_latency,std_dev
1,1625433.766776923,527081.1210073214
2,1990216.1273384616,897271.1697837956
4,2525905.431,1275970.0038575216
8,3052484.9731,1516387.778533401
16,3532456.3960153847,2438036.9827726465
