consumers,avg_latency,std_dev
1,921665.7297333333,391424.4998048236
2,727119.3944333333,336960.4885458307
4,720748.9435333334,328859.3682151361
8,600203.601,318384.99905882543
16,167295.6077,134095.4368159353
